"from","to","weight","pairID","pair_type","year","colony_size","colony_size_c","from_role","to_role","pair_type_2"
"9900","5876",0.545438919966248,"5876-9900","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"775E","4FCA",0.347878398373863,"4FCA-775E","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"775E","8712",0.326982573974668,"775E-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"775E","1338",0.272805400168756,"1338-775E","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"775E","5876",0.309156536141754,"5876-775E","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5440","4FCA",0.5,"4FCA-5440","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"5440","8712",0.607806065017963,"5440-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5440","1338",0.537024305157684,"1338-5440","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5440","5876",0.603737911621059,"5440-5876","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5DED","4FCA",0.468096077470506,"4FCA-5DED","other",2014,24,-2.49157786180818,NA,"rfid_mom","other"
"5DED","8712",0.433984965332053,"5DED-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5DED","1338",0.452846403808609,"1338-5DED","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5DED","5876",0.436385512047251,"5876-5DED","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"4FCA","4F91",0.54760267805988,"4F91-4FCA","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","5971",0.674358646382118,"4FCA-5971","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","0832",0.64280803417964,"0832-4FCA","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","A093",0.521731657375163,"4FCA-A093","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","A4F8",0.530601721609923,"4FCA-A4F8","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","900E",0.603737911621059,"4FCA-900E","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","8712",0.693810903529511,"4FCA-8712","other",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"4FCA","E453",0.603737911621059,"4FCA-E453","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4FCA","1338",0.679938123066346,"1338-4FCA","other",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-random-juvenile"
"4FCA","5876",0.653793267578073,"4FCA-5876","mother-daughter",2014,24,-2.49157786180818,"rfid_mom","rfid_off","mother-daughter"
"4FCA","A0CF",0.0514363028972861,"4FCA-A0CF","other",2014,24,-2.49157786180818,"rfid_mom",NA,"other"
"4F91","8712",0.5,"4F91-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"4F91","1338",0.431396140443114,"1338-4F91","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"4F91","5876",0.415123526855498,"4F91-5876","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
"5971","8712",0.549002756826347,"5971-8712","other",2014,24,-2.49157786180818,NA,"rfid_off","other"
